phrase, score
in loving memory of tom and, 80
in commemoration of, 80
in a garden than anywhere else on, 80
in hearts we leave behind is not, 80
in 2016 by change step veterans in, 80
memory of mr &, 80
memory of a dear husband and father, 80
memory of our friend, 80
memory of fallen comrades armed forces covenant, 80
of the surrounding area, 80
of the life of, 80
of mr & mrs, 80
of our dear friend, 80
of queen elizabeth ii, 80
of remembrance [under seat] city of london, 80
to commemorate the 50th anniversary of, 80
to commemorate the 50th anniversary of the, 80
to sit and remember, 80
to all who knew, 80
to share but in our hearts, 80
who loved this village, 80
who loved the sea, 80
loved by all who knew her, 80
and always in our, 80
with love and, 80
this seat was presented by the, 80
this seat is in, 80
this bench is placed here by siston, 80
every day unseen unheard but always, 80
always near still loved still missed and, 80
seat was donated, 80
for the enjoyment of the residents, 80
many happy hours spent, 80
many happy times here, 80
loving memory of a dear husband dad, 80
loving memory of harold, 80
loving memory of doreen, 80
loving memory of derek, 80
loving memory of dennis, 80
loving memory of anthony, 80
loving memory of chris, 80
garden of remembrance [under seat] city of, 80
a much loved husband dad and, 80
remembered by his, 80
love could have saved you you would, 80
was a blessing your memory a treasure, 80
is placed here by siston parish council, 80
here in 2016 by change step veterans, 80
here if you don't mind someone stopping, 80
life was a blessing your memory a, 80
we leave behind is not to die", 80
presented by rickety bridge winery in, 80
city of durham - heritage partnership scheme, 80
us every day unseen unheard but, 80
bench is dedicated to the memory, 80
bench is placed here by siston parish, 80
bench was donated by, 80
you will always be in our hearts, 80
you don't mind someone stopping to say, 80
missed by his family and friends, 80
missed by his wife, 80
missed by all her family and friends, 80
sit here if you don't mind someone, 80
enjoy the view as, 80
never forgotten always in our hearts, 80
never more than a thought away, 80
walk beside us every day unseen unheard, 80
rest a while in memory of, 80
they walk beside us every day unseen, 80
your life was a blessing your memory, 80
area is dedicated in loving memory of, 80
change step newid cam gosodwyd yn 2016, 80
those we love, 80
those he loved and those he, 80
greatly missed by all, 80
parents and grandparents, 80
council for the enjoyment of the, 80
live in hearts we leave behind is, 80
son brother and friend, 80
surrounding area is dedicated in loving memory, 80
day unseen unheard but always near still, 80
if tears could build a stairway and, 80
if you don't mind someone stopping to, 80
if full of care we have, 80
could have saved you you would have, 80
beside us every day unseen unheard, 80
members of the, 80
majesty queen elizabeth ii, 80
2016 gan gyn-filwyr newid cam er cof, 80
2016 by change step veterans in memory, 80
parish council for the enjoyment of, 80
presence we miss your memory we treasure, 80
cam gosodwyd yn 2016 gan gyn-filwyr newid, 80
cam er cof am eu cyfoedion coll, 80
veterans in memory of fallen comrades armed, 80
siston parish council for the enjoyment, 80
step newid cam gosodwyd yn 2016 gan, 80
installed here in 2016 by change step, 80
fusiliers garden of remembrance [under seat] city, 80
[back] royal fusiliers garden of remembrance, 80
[back] royal fusiliers garden of remembrance [under, 80
gan gyn-filwyr newid cam er cof am, 80
yn 2016 gan gyn-filwyr newid cam er, 80
coll installed here in 2016 by change, 80
newid cam gosodwyd yn 2016 gan gyn-filwyr, 80
newid cam er cof am eu cyfoedion, 80
gosodwyd yn 2016 gan gyn-filwyr newid cam, 80
gyn-filwyr newid cam er cof am eu, 80
cyfoedion coll installed here in 2016 by, 80
the happy times, 78
in memory of my husband, 78
in loving memory of geoff, 78
in loving memory of carol, 78
in loving memory of shirley, 78
in loving memory of les, 78
in loving memory of ernest, 78
in loving memory of charlie, 78
in loving memory of joseph, 78
in loving memory of daniel, 78
in loving memory of her, 78
in loving memory of barry, 78
in loving memory of don, 78
in loving memory of wendy, 78
memory of a dear friend, 78
memory of harold, 78
memory of elizabeth, 78
memory of anne, 78
memory of kenneth, 78
of a dear husband and, 78
of mum and, 78
of hm queen elizabeth ii, 78
from his wife, 78
from all your, 78
to the people, 78
to commemorate the golden jubilee, 78
who loved to sit here, 78
loved husband dad & grandad, 78
loved never forgotten, 78
for those he loved and, 78
spent many happy times here, 78
loving memory of a beloved, 78
loving memory of fred and, 78
forever in our thoughts and, 78
our thoughts and, 78
on the occasion of the, 78
commemorate the golden jubilee of, 78
commemorate the silver jubilee of, 78
you will always stay loved, 78
missed by family & friends, 78
never be forgotten, 78
while and enjoy, 78
rest awhile and enjoy the, 78
service to the, 78
kindly donated by, 78
lived for those he loved, 78
take a seat, 78
parents grandparents and great grandparents, 78
donated by his family, 76
donated by friends, 76
by his many friends, 76
the royal british legion, 76
the surrounding area is, 76
in memory of albert, 76
in memory of peggy, 76
in memory of barbara, 76
in memory of gordon, 76
memory of jack and, 76
memory of her, 76
memory of chris, 76
of the friends of, 76
from all his friends, 76
from all his family, 76
loved and greatly missed, 76
loved to walk here, 76
and friends in, 76
and remembered every, 76
with love from all, 76
many happy holidays in, 76
loving memory of ted, 76
loving memory of sue, 76
loving memory of martin, 76
loving memory of leonard, 76
friend to many, 76
a wonderful husband, 76
a dear husband dad, 76
bench in memory of, 76
missed by all her, 76
be in our, 76
grandad always in our, 76
live in our hearts, 76
till we meet again, 76
part of the surrounding, 76
[right] in loving memory, 76
by his friends, 74
memory of ray, 74
memory of councillor, 74
memory of eileen, 74
memory of susan, 74
memory of derek, 74
memory of ann, 74
from his friends, 74
to the city, 74
his many friends, 74
this seat has, 74
seat has been, 74
loving wife mother, 74
you so much, 74
anniversary of the, 74
beloved husband of, 74
go away they, 74
donated by family, 72
by the family and friends of, 72
by his loving wife, 72
by transport for london for the benefit of, 72
by change step veterans in memory, 72
the 50th anniversary of the, 72
the beauty of, 72
the hearts we leave behind is not to, 72
the friends of battersea park, 72
the friends of battersea park 2002, 72
the surrounding area is dedicated in, 72
the surrounding area is dedicated to, 72
the benefit of capital ring walkers and local, 72
the benefit and use of the, 72
family and friends in loving memory, 72
in memory of our dear friend, 72
in memory of geoffrey, 72
in memory of my beloved wife, 72
in memory of my parents, 72
in memory of george and, 72
in memory of all the, 72
in memory of ian, 72
in memory of roy, 72
in memory of colin, 72
in memory of ray, 72
in memory of joe, 72
in memory of fallen comrades, 72
in our hearts always, 72
in our thoughts and forever in our hearts, 72
in loving memory of a dear friend and, 72
in loving memory of a dear mum and, 72
in loving memory of our son and brother, 72
in loving memory of our wonderful, 72
in loving memory of my darling, 72
in loving memory of james and, 72
in loving memory of ethel, 72
in loving memory of joan and, 72
in loving memory of william and, 72
in loving memory of brenda, 72
in loving memory of frank &, 72
in loving memory of his, 72
in loving memory of linda, 72
in loving memory of gerald, 72
in loving memory of walter, 72
in loving memory of carole, 72
in loving memory of ken &, 72
in loving memory of ken and, 72
in loving memory of neil, 72
in loving memory of christopher, 72
in loving memory of pamela, 72
in loving memory of malcolm, 72
in the hearts we leave behind is not, 72
memory of a dear husband dad, 72
memory of my darling, 72
memory of my dearest, 72
memory of pat, 72
memory of mary and, 72
memory of jim and, 72
memory of reg, 72
memory of tom and, 72
memory of christine, 72
memory we treasure loving you always forgetting you, 72
of a dear husband and father, 72
of a loving, 72
of hm queen elizabeth, 72
of care we have no time to stand, 72
from your loving family, 72
to commemorate the silver jubilee, 72
to commemorate the diamond jubilee of, 72
to share but in our hearts you're always, 72
who spent many happy hours in these gardens, 72
loved this place and, 72
loved and missed by all his family and, 72
loved to sit here, 72
and friends in loving memory of, 72
and enjoy the view as, 72
and grandad always in our, 72
and missed by all his family and friends, 72
and rest a while, 72
and use of the people of, 72
his family and many friends, 72
he loved and those he loved, 72
he lived for those he loved, 72
he lived for those he loved and those, 72
this seat has been donated by, 72
this bench is placed here, 72
this life if full of care we have, 72
always in our hearts in loving memory of, 72
always in our thoughts and forever in our, 72
always be in our hearts, 72
